code,standing_offer_number,display_name,agency,source,start_date,end_date,cancellation_policy,services,active_rate_rows,status,notes
SOA-100018367,100018367.0,Employment and Social Development Canada SOA,Employment and Social Development Canada,Ezsked,2022-11-01,2027-11-01,48 hours,Full-time and part-time training; assessment; group and individual,6,Active,Extracted from Ezsked soa_offers on 2026-06-22
SOA-20230676,20230676.0,Financial Consumer Agency of Canada SOA,Financial Consumer Agency of Canada,Ezsked,2023-09-01,2026-08-01,48 hours,Part-time group,3,Active,Extracted from Ezsked soa_offers on 2026-06-22
SOA-2L165-21-0335,2L165-21-0335,Communications Security Establishment SOA,Communications Security Establishment,Ezsked,2021-09-01,2026-08-01,48 hours,Assessment; evaluations; full-time and part-time group and individual,6,Active,Extracted from Ezsked soa_offers on 2026-06-22
SOA-37132-23-0001,37132-23-0001,PEPSI,Public Safety and Emergency Preparedness Canada,Ezsked,2023-04-01,2028-03-01,24 hours,Diagnostic assessments; second language evaluations; virtual or at PSEPC,4,Active,Extracted from Ezsked soa_offers on 2026-06-22
SOA-4600002737,4600002737.0,Indigenous Services Canada SOA,Indigenous Services Canada,Ezsked,2025-04-01,2030-03-01,48 hours,Full-time and part-time group and individual,4,Active,Extracted from Ezsked soa_offers on 2026-06-22
SOA-CW2379765,CW2379765,NMSO,National Master Standing Offer,Ezsked,2024-11-01,2029-11-01,24 hours,Virtual and in-person individual training; placement tests,4,Active,Extracted from Ezsked soa_offers on 2026-06-22
SOA-EN578-202723-006-ZF,EN578-202723/006/ZF,OSO,Online Standing Offer,Ezsked,2021-05-01,2026-07-03,48 h,Stream 4 full-time individual virtual; Stream 5 part-time virtual individual; Stream 6 part-time individual in a federal institution; Stream 8 placement tests,4 confirmed stream summaries,Active,OSO stream rates confirmed by Kevin on 2026-06-22 for fiscal years 2024/25 through 2028/29
SOA-CCC,106974.136,CCC,Canadian Commercial Corporation,Manual,2026-01-20,2028-03-31,48 business hours,Group semi-private private training; reading writing oral assessments,6,Active,Added manually from Kevin's 2026-06-22 CCC details
